"","family","genus","species","taxonomic_rank","taxon","lme","fao","habitat","reference_habitat","feeding_mode","reference_feeding_mode","trophic_level","level_tl","reference_tl","body_shape","fin_shape","ar","level_ar","reference_ar","offspring_size","level_offspring_size","reference_offspring_size","spawning_type","reference_spawning_type","age_maturity","level_age_maturity","reference_age_maturity","fecundity","level_fecundity","reference_fecundity","l_inf","k","level_growth","reference_growth","max_obs_length","level_length_max","reference_length_max","age_max","level_age_max","reference_age_max","temperature","reference_temperature","w_inf","reference_w_inf","natural_mortality","reference_mortality","length_maturity","reference_length_maturity"
"752","Sternoptychidae","Maurolicus","Maurolicus weitzmani","S","Maurolicus weitzmani",8,21,"bathypelagic","FroesePauly2018, OBIS2018","planktivorous","inferred from genus",3.24962977973438,"genus","FishLife","fusiform","forked",2.02,"gen","FroesePauly2018",1.26816433958566,"gen","FishLife","non-guarder","inferred from genus",1.15423848116485,"gen-FAO","FishLife",3706.3990555536,"gen-ocean","FishLife",6.87302613791021,0.642786300763305,"gen-ocean","FishLife",5,"spe","FroesePauly2018",1,"gen","FroesePauly2018",7.31041709647808,"FishLife",2.94442602769862,2.94442602769862,2.16183688252613,"FishLife",3.33743680078555,"FishLife"
"145","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus agassizi","S","Chlorophthalmus agassizi",6,21,"bathydemersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.66,"spe","FroesePauly2018","fusiform","forked",1.83,"spe","FroesePauly2018",2,"spe","D'onghia2006","non-guarder","FroesePauly2018",3,"spe","D'onghia2007",8615,"spe-ocean","D'onghia2006",19,0.24,"spe-ocean","FroesePauly2018",16,"spe-ocean","FroesePauly2018",10,"spe","D'onghia2006",11.939509257027,"FishLife",90.2468479810954,90.2468479810954,0.746616252053064,"FishLife",12.0685999407658,"FishLife"
"146","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus agassizi","S","Chlorophthalmus agassizi",6,31,"bathydemersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.66,"spe","FroesePauly2018","fusiform","forked",1.83,"spe","FroesePauly2018",2,"spe","D'onghia2006","non-guarder","FroesePauly2018",3,"spe","D'onghia2007",8615,"spe-ocean","D'onghia2006",19,0.24,"spe-ocean","FroesePauly2018",16,"spe-ocean","FroesePauly2018",10,"spe","D'onghia2006",11.939509257027,"FishLife",90.2468479810954,90.2468479810954,0.746616252053064,"FishLife",12.0685999407658,"FishLife"
"147","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus agassizi","S","Chlorophthalmus agassizi",7,21,"bathydemersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.66,"spe","FroesePauly2018","fusiform","forked",1.83,"spe","FroesePauly2018",2,"spe","D'onghia2006","non-guarder","FroesePauly2018",3,"spe","D'onghia2007",8615,"spe-ocean","D'onghia2006",19,0.24,"spe-ocean","FroesePauly2018",16,"spe-ocean","FroesePauly2018",10,"spe","D'onghia2006",11.939509257027,"FishLife",90.2468479810954,90.2468479810954,0.746616252053064,"FishLife",12.0685999407658,"FishLife"
"148","Chlorophthalmidae","Chlorophthalmus","Chlorophthalmus agassizi","S","Chlorophthalmus agassizi",8,21,"bathydemersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.66,"spe","FroesePauly2018","fusiform","forked",1.83,"spe","FroesePauly2018",2,"spe","D'onghia2006","non-guarder","FroesePauly2018",3,"spe","D'onghia2007",8615,"spe-ocean","D'onghia2006",19,0.24,"spe-ocean","FroesePauly2018",16,"spe-ocean","FroesePauly2018",10,"spe","D'onghia2006",11.939509257027,"FishLife",90.2468479810954,90.2468479810954,0.746616252053064,"FishLife",12.0685999407658,"FishLife"
"284","Gonostomatidae","Gonostoma","Gonostoma atlanticum","S","Gonostoma atlanticum",7,21,"bathypelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.03,"spe","FroesePauly2018","elongated","forked",1.33,"spe","FroesePauly2018",0.808596203635524,"gen","FishLife","non-guarder","FroesePauly2018",1.41596034965893,"fam","FishLife",2733.01891097144,"fam-ocean","FishLife",9.75568011769371,0.643921495789993,"fam-ocean","FishLife",7,"spe","FroesePauly2018",1.3,"fam-ocean","FroesePauly2018",9.2812503525211,"FishLife",7.69012805129148,7.69012805129148,1.49865278646986,"FishLife",5.64555476548235,"FishLife"
"285","Gonostomatidae","Sigmops","Sigmops elongatus","S","Sigmops elongatus",7,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.69239458044694,"genus","FishLife","elongated","forked",1.19,"gen","FroesePauly2018",0.891050409889465,"gen","FishLife","non-guarder","FroesePauly2018",1.99183684666256,"fam","FishLife",7596.37852082064,"fam-ocean","FishLife",16.5742389242603,0.473785949069695,"fam-ocean","FishLife",11.5539808758238,"gen","FishLife",1.3,"fam-ocean","FroesePauly2018",6.89923890049278,"FishLife",36.0238074514748,36.0238074514748,0.80310669082859,"FishLife",12.876910844449,"FishLife"
"286","Gonostomatidae","Sigmops","Sigmops elongatus","S","Sigmops elongatus",8,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.69239458044694,"genus","FishLife","elongated","forked",1.19,"gen","FroesePauly2018",0.891050409889465,"gen","FishLife","non-guarder","FroesePauly2018",1.99183684666256,"fam","FishLife",7596.37852082064,"fam-ocean","FishLife",16.5742389242603,0.473785949069695,"fam-ocean","FishLife",11.5539808758238,"gen","FishLife",1.3,"fam-ocean","FroesePauly2018",6.89923890049278,"FishLife",36.0238074514748,36.0238074514748,0.80310669082859,"FishLife",12.876910844449,"FishLife"
"287","Gonostomatidae","Sigmops","Sigmops elongatus","S","Sigmops elongatus",9,21,"bathypelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.69239458044694,"genus","FishLife","elongated","forked",1.19,"gen","FroesePauly2018",0.891050409889465,"gen","FishLife","non-guarder","FroesePauly2018",1.99183684666256,"fam","FishLife",7596.37852082064,"fam-ocean","FishLife",16.5742389242603,0.473785949069695,"fam-ocean","FishLife",11.5539808758238,"gen","FishLife",1.3,"fam-ocean","FroesePauly2018",6.89923890049278,"FishLife",36.0238074514748,36.0238074514748,0.80310669082859,"FishLife",12.876910844449,"FishLife"
"529","Phosichthyidae","Polymetme","Polymetme thaeocoryla","S","Polymetme thaeocoryla",7,21,"bathydemersal","FroesePauly2018, OBIS2018","piscivorous","inferred from genus",3.56662498849716,"genus","FishLife","elongated","forked",1.09,"gen","FroesePauly2018",0.941856968643257,"fam","FishLife","non-guarder","FroesePauly2018",0.88491210453792,"fam-ocean","FishLife",6543.72867423049,"fam","FishLife",7.90311787574651,1.12690166334934,"fam-ocean","FishLife",22,"spe","FroesePauly2018",1,"fam","FroesePauly2018",13.9877093803289,"FishLife",4.73252334239422,4.73252334239422,2.04496010992819,"FishLife",4.58209143405499,"FishLife"
