"","family","genus","species","taxonomic_rank","taxon","lme","fao","habitat","reference_habitat","feeding_mode","reference_feeding_mode","trophic_level","level_tl","reference_tl","body_shape","fin_shape","ar","level_ar","reference_ar","offspring_size","level_offspring_size","reference_offspring_size","spawning_type","reference_spawning_type","age_maturity","level_age_maturity","reference_age_maturity","fecundity","level_fecundity","reference_fecundity","l_inf","k","level_growth","reference_growth","max_obs_length","level_length_max","reference_length_max","age_max","level_age_max","reference_age_max","temperature","reference_temperature","w_inf","reference_w_inf","natural_mortality","reference_mortality","length_maturity","reference_length_maturity"
"420","Myxinidae","Myxine","Myxine glutinosa","S","Myxine glutinosa",7,21,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.54,"spe","FroesePauly2018","eel-like","rounded",0.61,"fam","FroesePauly2018",6.95805885543108,"fam","FishLife","non-guarder","FroesePauly2018",8,"spe","Meer2015",25,"spe-ocean","FroesePauly2018",75.2020154678526,0.118415611396296,"fam-ocean","FishLife",79,"spe-FAO","FroesePauly2018",NA,"","",12.7439498679034,"FishLife",2436.21919178739,2436.21919178739,0.324899261276327,"FishLife",27.4588392865101,"FishLife"
"421","Myxinidae","Myxine","Myxine glutinosa","S","Myxine glutinosa",8,21,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.54,"spe","FroesePauly2018","eel-like","rounded",0.61,"fam","FroesePauly2018",6.95805885543108,"fam","FishLife","non-guarder","FroesePauly2018",8,"spe","Meer2015",25,"spe-ocean","FroesePauly2018",75.2020154678526,0.118415611396296,"fam-ocean","FishLife",79,"spe-LME","FroesePauly2018",NA,"","",12.7439498679034,"FishLife",2436.21919178739,2436.21919178739,0.324899261276327,"FishLife",27.4588392865101,"FishLife"
"422","Myxinidae","Myxine","Myxine glutinosa","S","Myxine glutinosa",9,21,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",4.54,"spe","FroesePauly2018","eel-like","rounded",0.61,"fam","FroesePauly2018",6.95805885543108,"fam","FishLife","non-guarder","FroesePauly2018",8,"spe","Meer2015",25,"spe-ocean","FroesePauly2018",75.2020154678526,0.118415611396296,"fam-ocean","FishLife",79,"spe-LME","FroesePauly2018",NA,"","",12.7439498679034,"FishLife",2436.21919178739,2436.21919178739,0.324899261276327,"FishLife",27.4588392865101,"FishLife"
"524","Petromyzontidae","Petromyzon","Petromyzon marinus","S","Petromyzon marinus",6,21,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.37,"spe","FroesePauly2018","eel-like","rounded",0.81,"spe","FroesePauly2018",1.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",7,"spe-ocean","FroesePauly2019",234333,"spe-ocean","FroesePauly2018",54,0.16,"spe-ocean","FroesePauly2018",84,"spe-LME","FroesePauly2018",11,"spe","FroesePauly2018",15.7717195020202,"FishLife",3498.68101336811,3498.68101336811,0.348708707957127,"FishLife",27.641986072693,"FishLife"
"525","Petromyzontidae","Petromyzon","Petromyzon marinus","S","Petromyzon marinus",7,21,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.37,"spe","FroesePauly2018","eel-like","rounded",0.81,"spe","FroesePauly2018",1.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",7,"spe-ocean","FroesePauly2019",234333,"spe-ocean","FroesePauly2018",54,0.16,"spe-ocean","FroesePauly2018",84,"spe-LME","FroesePauly2018",11,"spe","FroesePauly2018",15.7717195020202,"FishLife",3498.68101336811,3498.68101336811,0.348708707957127,"FishLife",27.641986072693,"FishLife"
"526","Petromyzontidae","Petromyzon","Petromyzon marinus","S","Petromyzon marinus",8,21,"demersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.37,"spe","FroesePauly2018","eel-like","rounded",0.81,"spe","FroesePauly2018",1.1,"spe","FroesePauly2018","non-guarder","FroesePauly2018",7,"spe-ocean","FroesePauly2019",234333,"spe-ocean","FroesePauly2018",54,0.16,"spe-ocean","FroesePauly2018",84,"spe-FAO","FroesePauly2018",11,"spe","FroesePauly2018",15.7717195020202,"FishLife",3498.68101336811,3498.68101336811,0.348708707957127,"FishLife",27.641986072693,"FishLife"
"123","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","S","Carcharhinus obscurus",6,21,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.28,"spe","FroesePauly2018","fusiform","heterocercal",3.36,"spe","FroesePauly2018",753,"spe","Simpfendorfer2002","bearer","FroesePauly2018",20.3,"spe-ocean","FroesePauly2019",9,"spe-ocean","FroesePauly2018",435,0.04,"spe-LME","FroesePauly2018",329,"spe-FAO","FroesePauly2018",39,"spe-LME","FroesePauly2018",18.5141606911646,"FishLife",445432.904955439,445432.904955439,0.0737786152931604,"FishLife",250.252908487229,"FishLife"
"124","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","S","Carcharhinus obscurus",6,31,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.28,"spe","FroesePauly2018","fusiform","heterocercal",3.36,"spe","FroesePauly2018",753,"spe","Simpfendorfer2002","bearer","FroesePauly2018",20.3,"spe-ocean","FroesePauly2019",9,"spe-ocean","FroesePauly2018",435,0.04,"spe-LME","FroesePauly2018",400,"spe-ocean","FroesePauly2018",39,"spe-LME","FroesePauly2018",18.5141606911646,"FishLife",445432.904955439,445432.904955439,0.0737786152931604,"FishLife",250.252908487229,"FishLife"
"125","Carcharhinidae","Carcharhinus","Carcharhinus obscurus","S","Carcharhinus obscurus",7,21,"reef-associated","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.28,"spe","FroesePauly2018","fusiform","heterocercal",3.36,"spe","FroesePauly2018",753,"spe","Simpfendorfer2002","bearer","FroesePauly2018",20.3,"spe-ocean","FroesePauly2019",9,"spe-ocean","FroesePauly2018",459,0.03,"spe-LME","FroesePauly2018",329,"spe-FAO","FroesePauly2018",39,"spe-LME","FroesePauly2018",18.5141606911646,"FishLife",445432.904955439,445432.904955439,0.0737786152931604,"FishLife",250.252908487229,"FishLife"
"1",NA,NA,"Bathytoshia centroura",NA,NA,NA,NA,NA,NA,NA,NA,3.81050135658531,NA,"FishLife",NA,NA,NA,NA,NA,133.565341318333,NA,"133.565341318333",NA,NA,4.14533253861519,NA,"FishLife",3.73748577819963,NA,"FishLife",120.369368643964,0.189223369338844,NA,"FishLife",99.2346337822829,NA,"FishLife",NA,NA,NA,16.5500782561672,"FishLife",7289.50352025251,7289.50352025251,0.18490399907026,"FishLife",90.4747544355276,"FishLife"
"139","Cetorhinidae","Cetorhinus","Cetorhinus maximus","S","Cetorhinus maximus",7,21,"pelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.2,"spe","FroesePauly2018","elongated","heterocercal",3.16,"spe","FroesePauly2018",1750,"spe","Kunzlik1988","bearer","FroesePauly2018",11.5,"spe-ocean","FroesePauly2019",2,"spe-ocean","FroesePauly2018",1000,0.06,"spe-ocean","FroesePauly2018",914,"spe-LME","FroesePauly2018",50,"spe","FroesePauly2018",11.4914998540662,"FishLife",3782865.12861827,3782865.12861827,0.0371960323486805,"FishLife",550.122900408052,"FishLife"
"140","Cetorhinidae","Cetorhinus","Cetorhinus maximus","S","Cetorhinus maximus",8,21,"pelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.2,"spe","FroesePauly2018","elongated","heterocercal",3.16,"spe","FroesePauly2018",1750,"spe","Kunzlik1988","bearer","FroesePauly2018",11.5,"spe-ocean","FroesePauly2019",2,"spe-ocean","FroesePauly2018",1000,0.06,"spe-ocean","FroesePauly2018",1000,"spe-LME","FroesePauly2018",50,"spe","FroesePauly2018",11.4914998540662,"FishLife",3782865.12861827,3782865.12861827,0.0371960323486805,"FishLife",550.122900408052,"FishLife"
"141","Cetorhinidae","Cetorhinus","Cetorhinus maximus","S","Cetorhinus maximus",9,21,"pelagic","FroesePauly2018, OBIS2018","planktivorous","FroesePauly2018",3.2,"spe","FroesePauly2018","elongated","heterocercal",3.16,"spe","FroesePauly2018",1750,"spe","Kunzlik1988","bearer","FroesePauly2018",11.5,"spe-ocean","FroesePauly2019",2,"spe-ocean","FroesePauly2018",1000,0.06,"spe-ocean","FroesePauly2018",1000,"spe-LME","FroesePauly2018",50,"spe","FroesePauly2018",11.4914998540662,"FishLife",3782865.12861827,3782865.12861827,0.0371960323486805,"FishLife",550.122900408052,"FishLife"
"249","Etmopteridae","Centroscyllium","Centroscyllium fabricii","S","Centroscyllium fabricii",7,21,"bathydemersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.84,"spe","FroesePauly2018","elongated","heterocercal",0.82,"spe","FroesePauly2018",175,"spe","Yano2009","bearer","FroesePauly2018",7.7503147088704,"fam","FishLife",11.34099318477,"fam-ocean","FishLife",87.0112053387774,0.103935744472176,"fam","FishLife",84,"spe-FAO","FroesePauly2018",57,"fam","FroesePauly2018",12.0636738201921,"FishLife",3308.14324224894,3308.14324224894,0.221620902499856,"FishLife",56.6639694222574,"FishLife"
"250","Etmopteridae","Centroscyllium","Centroscyllium fabricii","S","Centroscyllium fabricii",8,21,"bathydemersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.84,"spe","FroesePauly2018","elongated","heterocercal",0.82,"spe","FroesePauly2018",175,"spe","Yano2009","bearer","FroesePauly2018",7.7503147088704,"fam","FishLife",11.34099318477,"fam-ocean","FishLife",87.0112053387774,0.103935744472176,"fam","FishLife",84,"spe-LME","FroesePauly2018",57,"fam","FroesePauly2018",12.0636738201921,"FishLife",3308.14324224894,3308.14324224894,0.221620902499856,"FishLife",56.6639694222574,"FishLife"
"251","Etmopteridae","Centroscyllium","Centroscyllium fabricii","S","Centroscyllium fabricii",9,21,"bathydemersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.84,"spe","FroesePauly2018","elongated","heterocercal",0.82,"spe","FroesePauly2018",175,"spe","Yano2009","bearer","FroesePauly2018",7.7503147088704,"fam","FishLife",11.34099318477,"fam-ocean","FishLife",87.0112053387774,0.103935744472176,"fam","FishLife",84,"spe-LME","FroesePauly2018",57,"fam","FroesePauly2018",12.0636738201921,"FishLife",3308.14324224894,3308.14324224894,0.221620902499856,"FishLife",56.6639694222574,"FishLife"
"253","Etmopteridae","Etmopterus","Etmopterus princeps","S","Etmopterus princeps",7,21,"bathydemersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.16983957587077,"genus","FishLife","elongated","heterocercal",1.15,"spe","FroesePauly2018",118.217147644827,"gen","FishLife","bearer","FroesePauly2018",7.60821658016959,"gen","FishLife",8.97914587367866,"gen-ocean","FishLife",76.2924040327944,0.104125524417159,"gen","FishLife",60,"spe-FAO","FroesePauly2018",57,"gen","FroesePauly2018",12.0293228841977,"FishLife",2211.00189594855,2211.00189594855,0.248805274278306,"FishLife",47.9392366840965,"FishLife"
"254","Etmopteridae","Etmopterus","Etmopterus princeps","S","Etmopterus princeps",8,21,"bathydemersal","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.16983957587077,"genus","FishLife","elongated","heterocercal",1.15,"spe","FroesePauly2018",118.217147644827,"gen","FishLife","bearer","FroesePauly2018",7.60821658016959,"gen","FishLife",8.97914587367866,"gen-ocean","FishLife",76.2924040327944,0.104125524417159,"gen","FishLife",60,"spe-LME","FroesePauly2018",57,"gen","FroesePauly2018",12.0293228841977,"FishLife",2211.00189594855,2211.00189594855,0.248805274278306,"FishLife",47.9392366840965,"FishLife"
"126","Carcharhinidae","Carcharhinus","Carcharhinus plumbeus","S","Carcharhinus plumbeus",6,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.49,"spe","FroesePauly2018","fusiform","heterocercal",3.18,"spe","FroesePauly2018",450,"spe","Casey1985","bearer","FroesePauly2018",12.5,"spe-ocean","FroesePauly2019",8,"spe-ocean","FroesePauly2018",251,0.07,"spe-FAO","FroesePauly2018",204,"spe-LME","FroesePauly2018",34,"spe-LME","FroesePauly2018",16.6241475691822,"FishLife",95060.3041093731,95060.3041093731,0.112969050925782,"FishLife",152.502954834786,"FishLife"
"127","Carcharhinidae","Carcharhinus","Carcharhinus plumbeus","S","Carcharhinus plumbeus",6,31,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.49,"spe","FroesePauly2018","fusiform","heterocercal",3.18,"spe","FroesePauly2018",450,"spe","Casey1985","bearer","FroesePauly2018",12.5,"spe-ocean","FroesePauly2019",8,"spe-ocean","FroesePauly2018",224,0.05,"spe-FAO","FroesePauly2018",204,"spe-LME","FroesePauly2018",34,"spe-LME","FroesePauly2018",16.6241475691822,"FishLife",95060.3041093731,95060.3041093731,0.112969050925782,"FishLife",152.502954834786,"FishLife"
"128","Carcharhinidae","Carcharhinus","Carcharhinus plumbeus","S","Carcharhinus plumbeus",7,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.49,"spe","FroesePauly2018","fusiform","heterocercal",3.18,"spe","FroesePauly2018",450,"spe","Casey1985","bearer","FroesePauly2018",12.5,"spe-ocean","FroesePauly2019",8,"spe-ocean","FroesePauly2018",251,0.07,"spe-LME","FroesePauly2018",204,"spe-LME","FroesePauly2018",34,"spe-LME","FroesePauly2018",16.6241475691822,"FishLife",95060.3041093731,95060.3041093731,0.112969050925782,"FishLife",152.502954834786,"FishLife"
"430","Odontaspididae","Carcharias","Carcharias taurus","S","Carcharias taurus",6,21,"reef-associated","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.5,"spe","FroesePauly2018","fusiform","heterocercal",1.61,"spe","FroesePauly2018",1000,"spe","FroesePauly2018","bearer","FroesePauly2018",12,"spe","Garcia2009",2,"spe","FroesePauly2018",312,0.15,"spe-FAO","FroesePauly2018",318,"spe-LME","FroesePauly2018",17,"spe","FroesePauly2018",15.3543240428815,"FishLife",101624.745755554,101624.745755554,0.10574490806308,"FishLife",199.388302212955,"FishLife"
"431","Odontaspididae","Carcharias","Carcharias taurus","S","Carcharias taurus",6,31,"reef-associated","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.5,"spe","FroesePauly2018","fusiform","heterocercal",1.61,"spe","FroesePauly2018",1000,"spe","FroesePauly2018","bearer","FroesePauly2018",12,"spe","Garcia2009",2,"spe","FroesePauly2018",284,0.16,"spe-ocean","FroesePauly2018",318,"spe-LME","FroesePauly2018",17,"spe","FroesePauly2018",15.3543240428815,"FishLife",101624.745755554,101624.745755554,0.10574490806308,"FishLife",199.388302212955,"FishLife"
"432","Odontaspididae","Carcharias","Carcharias taurus","S","Carcharias taurus",7,21,"reef-associated","FroesePauly2018, OBIS2018","piscivorous","FroesePauly2018",4.5,"spe","FroesePauly2018","fusiform","heterocercal",1.61,"spe","FroesePauly2018",1000,"spe","FroesePauly2018","bearer","FroesePauly2018",12,"spe","Garcia2009",2,"spe","FroesePauly2018",312,0.15,"spe-LME","FroesePauly2018",318,"spe-LME","FroesePauly2018",17,"spe","FroesePauly2018",15.3543240428815,"FishLife",101624.745755554,101624.745755554,0.10574490806308,"FishLife",199.388302212955,"FishLife"
"817","Triakidae","Mustelus","Mustelus canis","S","Mustelus canis",6,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.64,"spe","FroesePauly2018","elongated","heterocercal",1.13,"spe","FroesePauly2018",280.494620933807,"fam","FishLife","bearer","FroesePauly2018",2.7,"spe","FroesePauly2019",7.79684991885992,"gen-LME","FishLife",128,0.09,"spe-FAO","FroesePauly2018",132,"spe-LME","FroesePauly2018",16,"spe","FroesePauly2018",12.8731860753207,"FishLife",8672.88039149467,8672.88039149467,0.209018303472352,"FishLife",75.8611934387176,"FishLife"
"818","Triakidae","Mustelus","Mustelus canis","S","Mustelus canis",6,31,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.64,"spe","FroesePauly2018","elongated","heterocercal",1.13,"spe","FroesePauly2018",280.494620933807,"fam","FishLife","bearer","FroesePauly2018",2.7,"spe","FroesePauly2019",7.79684991885992,"gen-LME","FishLife",128,0.09,"spe-ocean","FroesePauly2018",132,"spe-LME","FroesePauly2018",16,"spe","FroesePauly2018",12.8731860753207,"FishLife",8672.88039149467,8672.88039149467,0.209018303472352,"FishLife",75.8611934387176,"FishLife"
"819","Triakidae","Mustelus","Mustelus canis","S","Mustelus canis",7,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.64,"spe","FroesePauly2018","elongated","heterocercal",1.13,"spe","FroesePauly2018",280.494620933807,"fam","FishLife","bearer","FroesePauly2018",2.7,"spe","FroesePauly2019",7.79684991885992,"gen-LME","FishLife",128,0.09,"spe-LME","FroesePauly2018",132,"spe-LME","FroesePauly2018",16,"spe","FroesePauly2018",12.8731860753207,"FishLife",8672.88039149467,8672.88039149467,0.209018303472352,"FishLife",75.8611934387176,"FishLife"
"820","Triakidae","Mustelus","Mustelus canis","S","Mustelus canis",9,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",3.64,"spe","FroesePauly2018","elongated","heterocercal",1.13,"spe","FroesePauly2018",280.494620933807,"fam","FishLife","bearer","FroesePauly2018",2.7,"spe","FroesePauly2019",7.79684991885992,"gen-LME","FishLife",128,0.09,"spe-FAO","FroesePauly2018",107,"spe-LME","FroesePauly2018",16,"spe","FroesePauly2018",12.8731860753207,"FishLife",8672.88039149467,8672.88039149467,0.209018303472352,"FishLife",75.8611934387176,"FishLife"
"675","Scyliorhinidae","Scyliorhinus","Scyliorhinus retifer","S","Scyliorhinus retifer",6,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.37053091839284,"genus","FishLife","elongated","heterocercal",1.45,"spe","FroesePauly2018",122.483088722283,"gen","FishLife","non-guarder","FroesePauly2018",3.57123479517889,"gen-ocean","FishLife",6.77614561641998,"gen-ocean","FishLife",81.1669341152232,0.191186957589883,"gen-ocean","FishLife",48,"spe","FroesePauly2018",15.5,"gen","FroesePauly2018",16.2252918249132,"FishLife",2307.98170952195,2307.98170952195,0.28292527929974,"FishLife",57.7956240993171,"FishLife"
"676","Scyliorhinidae","Scyliorhinus","Scyliorhinus retifer","S","Scyliorhinus retifer",6,31,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.37053091839284,"genus","FishLife","elongated","heterocercal",1.45,"spe","FroesePauly2018",122.483088722283,"gen","FishLife","non-guarder","FroesePauly2018",3.57123479517889,"gen-ocean","FishLife",6.77614561641998,"gen-ocean","FishLife",81.1669341152232,0.191186957589883,"gen-ocean","FishLife",48,"spe","FroesePauly2018",15.5,"gen","FroesePauly2018",16.2252918249132,"FishLife",2307.98170952195,2307.98170952195,0.28292527929974,"FishLife",57.7956240993171,"FishLife"
"677","Scyliorhinidae","Scyliorhinus","Scyliorhinus retifer","S","Scyliorhinus retifer",7,21,"demersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.37053091839284,"genus","FishLife","elongated","heterocercal",1.45,"spe","FroesePauly2018",122.483088722283,"gen","FishLife","non-guarder","FroesePauly2018",3.57123479517889,"gen-ocean","FishLife",6.77614561641998,"gen-ocean","FishLife",81.1669341152232,0.191186957589883,"gen-ocean","FishLife",48,"spe","FroesePauly2018",15.5,"gen","FroesePauly2018",16.2252918249132,"FishLife",2307.98170952195,2307.98170952195,0.28292527929974,"FishLife",57.7956240993171,"FishLife"
"739","Squalidae","Squalus","Squalus acanthias","S","Squalus acanthias",6,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.37,"spe","FroesePauly2018","elongated","heterocercal",1.46,"spe","FroesePauly2018",260,"spe","Ketchen1972","bearer","FroesePauly2018",8.8,"spe-ocean","FroesePauly2019",11,"spe-ocean","FroesePauly2018",125,0.08,"spe-ocean","FroesePauly2018",120,"spe-FAO","FroesePauly2018",75,"spe","FroesePauly2018",9.97273326642092,"FishLife",5674.98152354798,5674.98152354798,0.169654736557215,"FishLife",68.5684234975163,"FishLife"
"740","Squalidae","Squalus","Squalus acanthias","S","Squalus acanthias",6,31,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.37,"spe","FroesePauly2018","elongated","heterocercal",1.46,"spe","FroesePauly2018",260,"spe","Ketchen1972","bearer","FroesePauly2018",8.8,"spe-ocean","FroesePauly2019",11,"spe-ocean","FroesePauly2018",125,0.08,"spe-ocean","FroesePauly2018",200,"spe-ocean","FroesePauly2018",75,"spe","FroesePauly2018",9.97273326642092,"FishLife",5674.98152354798,5674.98152354798,0.169654736557215,"FishLife",68.5684234975163,"FishLife"
"741","Squalidae","Squalus","Squalus acanthias","S","Squalus acanthias",7,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.37,"spe","FroesePauly2018","elongated","heterocercal",1.46,"spe","FroesePauly2018",260,"spe","Ketchen1972","bearer","FroesePauly2018",8.8,"spe-ocean","FroesePauly2019",11,"spe-ocean","FroesePauly2018",125,0.08,"spe-ocean","FroesePauly2018",120,"spe-FAO","FroesePauly2018",75,"spe","FroesePauly2018",9.97273326642092,"FishLife",5674.98152354798,5674.98152354798,0.169654736557215,"FishLife",68.5684234975163,"FishLife"
"742","Squalidae","Squalus","Squalus acanthias","S","Squalus acanthias",8,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.37,"spe","FroesePauly2018","elongated","heterocercal",1.46,"spe","FroesePauly2018",260,"spe","Ketchen1972","bearer","FroesePauly2018",8.8,"spe-ocean","FroesePauly2019",11,"spe-ocean","FroesePauly2018",125,0.08,"spe-ocean","FroesePauly2018",120,"spe-LME","FroesePauly2018",75,"spe","FroesePauly2018",9.97273326642092,"FishLife",5674.98152354798,5674.98152354798,0.169654736557215,"FishLife",68.5684234975163,"FishLife"
"743","Squalidae","Squalus","Squalus acanthias","S","Squalus acanthias",9,21,"benthopelagic","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.37,"spe","FroesePauly2018","elongated","heterocercal",1.46,"spe","FroesePauly2018",260,"spe","Ketchen1972","bearer","FroesePauly2018",8.8,"spe-ocean","FroesePauly2019",11,"spe-ocean","FroesePauly2018",125,0.08,"spe-ocean","FroesePauly2018",120,"spe-LME","FroesePauly2018",75,"spe","FroesePauly2018",9.97273326642092,"FishLife",5674.98152354798,5674.98152354798,0.169654736557215,"FishLife",68.5684234975163,"FishLife"
"744","Squatinidae","Squatina","Squatina dumeril","S","Squatina dumeril",6,21,"bathydemersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.49,"spe","FroesePauly2018","flat","truncate",NA,"","",135.569643972729,"","FishLife","bearer","FroesePauly2018",7.06357774292718,"gen","FishLife",10.3178717455955,"gen-ocean","FishLife",133.967633378769,0.138383360848758,"gen-ocean","FishLife",152,"spe","FroesePauly2018",35,"gen","FroesePauly2018",16.784822798945,"FishLife",12305.4246821514,12305.4246821514,0.168259253609311,"FishLife",92.8725511042261,"FishLife"
"745","Squatinidae","Squatina","Squatina dumeril","S","Squatina dumeril",6,31,"bathydemersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.49,"spe","FroesePauly2018","flat","truncate",NA,"","",135.569643972729,"","FishLife","bearer","FroesePauly2018",7.06357774292718,"gen","FishLife",10.3178717455955,"gen-ocean","FishLife",133.967633378769,0.138383360848758,"gen-ocean","FishLife",152,"spe","FroesePauly2018",35,"gen","FroesePauly2018",16.784822798945,"FishLife",12305.4246821514,12305.4246821514,0.168259253609311,"FishLife",92.8725511042261,"FishLife"
"746","Squatinidae","Squatina","Squatina dumeril","S","Squatina dumeril",7,21,"bathydemersal","FroesePauly2018, OBIS2018","generalist","FroesePauly2018",4.49,"spe","FroesePauly2018","flat","truncate",NA,"","",135.569643972729,"","FishLife","bearer","FroesePauly2018",7.06357774292718,"gen","FishLife",10.3178717455955,"gen-ocean","FishLife",133.967633378769,0.138383360848758,"gen-ocean","FishLife",152,"spe","FroesePauly2018",35,"gen","FroesePauly2018",16.784822798945,"FishLife",12305.4246821514,12305.4246821514,0.168259253609311,"FishLife",92.8725511042261,"FishLife"
"220","Dasyatidae","Hypanus","Hypanus say","S","Hypanus say",6,21,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.7000319532375,"family","FishLife","flat","pointed",NA,"","",133.307199014927,"gen","FishLife","bearer","FroesePauly2018",3.72168797267485,"gen","FishLife",2.70886048568534,"fam-ocean","FishLife",118.099056811497,0.178921260105594,"fam-ocean","FishLife",108.652509507471,"fam-LME","FishLife",28,"gen","FroesePauly2018",20.6391259641423,"FishLife",6522.06166878536,6522.06166878536,0.285280768255494,"FishLife",40.4134653809495,"FishLife"
"221","Dasyatidae","Hypanus","Hypanus say","S","Hypanus say",6,31,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.7000319532375,"family","FishLife","flat","pointed",NA,"","",133.307199014927,"gen","FishLife","bearer","FroesePauly2018",3.72168797267485,"gen","FishLife",2.70886048568534,"fam-ocean","FishLife",118.099056811497,0.178921260105594,"fam-FAO","FishLife",108.652509507471,"fam-LME","FishLife",28,"gen","FroesePauly2018",20.6391259641423,"FishLife",6522.06166878536,6522.06166878536,0.285280768255494,"FishLife",40.4134653809495,"FishLife"
"222","Dasyatidae","Hypanus","Hypanus say","S","Hypanus say",7,21,"demersal","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.7000319532375,"family","FishLife","flat","pointed",NA,"","",133.307199014927,"gen","FishLife","bearer","FroesePauly2018",3.72168797267485,"gen","FishLife",2.70886048568534,"fam-ocean","FishLife",118.099056811497,0.178921260105594,"fam-ocean","FishLife",108.652509507471,"fam-LME","FishLife",28,"gen","FroesePauly2018",20.6391259641423,"FishLife",6522.06166878536,6522.06166878536,0.285280768255494,"FishLife",40.4134653809495,"FishLife"
"414","Myliobatidae","Myliobatis","Myliobatis freminvillei","S","Myliobatis freminvillei",6,21,"benthopelagic","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.41,"spe","FroesePauly2018","flat","pointed",NA,"","",250,"spe","McEachran2002","bearer","FroesePauly2018",3.56688114101626,"gen","FishLife",6,"spe-ocean","FroesePauly2018",121.060596282377,0.190275243691835,"gen-ocean","FishLife",100,"spe","FroesePauly2018",23,"gen-FAO","FroesePauly2018",19.1793522922145,"FishLife",8327.71965324228,8327.71965324228,0.235258077390783,"FishLife",60.6767211453148,"FishLife"
"415","Myliobatidae","Myliobatis","Myliobatis freminvillei","S","Myliobatis freminvillei",6,31,"benthopelagic","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.41,"spe","FroesePauly2018","flat","pointed",NA,"","",250,"spe","McEachran2002","bearer","FroesePauly2018",3.56688114101626,"gen","FishLife",6,"spe-ocean","FroesePauly2018",121.060596282377,0.190275243691835,"gen-ocean","FishLife",100,"spe","FroesePauly2018",23,"gen-LME","FroesePauly2018",19.1793522922145,"FishLife",8327.71965324228,8327.71965324228,0.235258077390783,"FishLife",60.6767211453148,"FishLife"
"416","Myliobatidae","Myliobatis","Myliobatis freminvillei","S","Myliobatis freminvillei",7,21,"benthopelagic","FroesePauly2018, OBIS2018","benthivorous","FroesePauly2018",3.41,"spe","FroesePauly2018","flat","pointed",NA,"","",250,"spe","McEachran2002","bearer","FroesePauly2018",3.56688114101626,"gen","FishLife",6,"spe-ocean","FroesePauly2018",121.060596282377,0.190275243691835,"gen-ocean","FishLife",100,"spe","FroesePauly2018",23,"gen-LME","FroesePauly2018",19.1793522922145,"FishLife",8327.71965324228,8327.71965324228,0.235258077390783,"FishLife",60.6767211453148,"FishLife"
