year,season,Id,mean_temp,sd_temp
1991,spring,464,9.14306135842495,0.839549053362993
1991,spring,465,8.28355187318031,1.28643384853947
1991,spring,466,8.36771545543538,1.33086638320279
1991,spring,511,7.24625270222742,1.17765675393825
1991,spring,512,6.3155719137683,0.91902730699992
1991,spring,513,5.26265664149386,0.858166048873898
1991,spring,514,5.90739216717168,0.893171816628416
1991,spring,515,6.52032530887317,1.19755016338574
1991,spring,521,5.89384237468499,1.88567084758287
1991,spring,522,8.15842309207115,3.17623575056565
1991,spring,525,10.6927108527293,1.6937735969739
1991,spring,526,10.5631834834719,1.51429009848423
1991,spring,537,9.9293641514366,2.02294452194617
1991,spring,538,16.3455849904863,1.58649095512851
1991,spring,539,9.32882078139332,2.39350723033065
1991,spring,551,8.38907535428181,1.44772254337452
1991,spring,552,10.0358922016264,1.4398390206269
1991,spring,561,9.26264804980957,2.46382144964505
1991,spring,562,11.1055459149571,2.30635409391188
1991,spring,611,14.3955153999748,2.5113357243502
1991,spring,612,8.49091827025974,3.32106939701906
1991,spring,613,7.58324854299681,2.16768078204858
1991,spring,614,10.5295543053087,3.36365272931815
1991,spring,615,6.93445423493466,1.96081679716538
1991,spring,616,9.98071089550685,2.35092717335153
1991,spring,621,8.99116467628597,3.78070427813249
1991,spring,622,8.64032073026755,2.73513111018889
1991,spring,623,12.5402364346571,0.795086378721161
1991,spring,625,10.8052625584079,3.83654027106473
1991,spring,626,8.0416396803768,2.53875016311771
1991,spring,631,11.1094247007393,2.7784281522307
1991,spring,632,10.1646505804249,2.15913630800233
1991,spring,635,14.2553623944491,1.96844954343407
1991,spring,636,14.0089289434664,1.2848477844084
1992,fall,463,7.95198349849038,0.889440782801353
1992,fall,464,7.9656041185759,1.18118808701282
1992,fall,465,8.36364943349689,1.12058406407093
1992,fall,466,8.7594770687842,0.918108682364873
1992,fall,511,7.65081109071924,1.18896427077941
1992,fall,512,6.57381299625523,1.10871588912167
1992,fall,513,5.69371967583518,1.12548043002591
