Id,est_year,season,PC1,PC2,PC3
464,1970,Fall,-1.99444258794341,0.899944219958282,0.097101937760948
465,1970,Fall,-1.5431880757451,0.428725537849878,0.717206775091872
511,1970,Fall,-2.5928489707447,0.901556505469385,-0.00110073734783933
512,1970,Fall,-2.12228547495432,0.348646828870818,0.481912020083561
513,1970,Fall,-2.3548715182558,0.906442555563965,0.0314649633827648
514,1970,Fall,-3.19586363762676,-0.166973011421642,-0.0759870497099493
515,1970,Fall,-2.14525778204332,0.00274367030819424,0.445994620014636
521,1970,Fall,-1.89774821908165,0.662724895598452,0.198193622788753
522,1970,Fall,-1.55729851947115,0.8190321748949,0.328677102495588
525,1970,Fall,-2.43934940254653,-0.175072458605281,-0.278380423996599
526,1970,Fall,-3.79307582676334,-1.42107895588218,-0.483573177246403
537,1970,Fall,-2.83627715391057,-1.32169505747318,-0.508127142355325
539,1970,Fall,-3.85341217274982,-1.63424922832863,-0.507167615404828
551,1970,Fall,-2.20044552610888,1.00403242472719,0.113975286410766
552,1970,Fall,-1.82299950986747,0.395563378236829,-0.142939493045975
561,1970,Fall,-1.93992281126986,0.816242774577539,0.00311654962217303
562,1970,Fall,-1.79475503208404,0.202685137404734,-0.11426261104308
612,1970,Fall,-4.45879689582716,-2.17422512922665,-0.633608531302789
613,1970,Fall,-3.14599347555518,-1.04146293750005,-0.469429153411787
614,1970,Fall,-0.405696383316897,1.6592460567246,0.250395178412535
615,1970,Fall,-3.57770177092929,-1.49333088855383,-0.500892394282987
616,1970,Fall,-2.83508872037744,-0.201368064208554,-0.386138063368407
621,1970,Fall,1.15630708469473,0.556159563896533,-1.00328403574012
622,1970,Fall,-3.8303081252159,-0.96486957472884,-0.937192889146801
623,1970,Fall,-2.20676490715138,0.867169544463255,0.498664714680595
625,1970,Fall,-1.15509505565757,0.5690910879063,-0.466021782311795
626,1970,Fall,1.21001434550297,0.38907281189341,-0.780874285779985
627,1970,Fall,-0.483376050608631,1.61821977459204,-0.356222590922975
631,1970,Fall,-2.2722066118854,-1.37819630853532,-0.0716304208864939
632,1970,Fall,0.130048220665444,1.24283011680908,-0.72432029408335
636,1970,Fall,-4.48846830538761,-1.77097919380168,-0.362845235088457
464,1970,Spring,-1.78121396104452,1.53211391940179,-0.18897389220141
465,1970,Spring,-2.45539238768211,0.886159147389586,0.35585332053982
511,1970,Spring,-2.12377405217444,1.39948933933359,0.319295808110208
512,1970,Spring,-2.29640704863628,0.132476491549001,0.814390538644098
513,1970,Spring,-2.17492822892265,1.20809016791083,0.456089299416435
514,1970,Spring,-2.46963864331381,0.974930205148071,0.395344536514233
515,1970,Spring,-2.30270171635491,0.391018174774138,0.423477101801218
521,1970,Spring,-2.69987095671617,0.122262228342235,0.503952186357045
522,1970,Spring,-2.21821016148368,0.166272264897964,0.390058361461306
525,1970,Spring,-3.65855000168377,-1.22754682840308,-0.44572768154773
526,1970,Spring,-2.0921484794676,0.269211142187718,-0.0311604688199186
537,1970,Spring,-2.30682189553988,-0.335761755187429,-0.229505276693595
539,1970,Spring,-3.92941341927334,-0.890120085226232,-0.35234308207549
551,1970,Spring,-1.15659390528543,0.701595682932348,0.0426610279632855
552,1970,Spring,-0.0785344280016977,-0.099053895760764,-0.10504827475194
561,1970,Spring,-2.74855305450865,0.903343919852016,-0.0334725434032713
562,1970,Spring,-1.42626103517087,1.15809616802919,-0.0268569087546592
612,1970,Spring,-2.4997412315378,-0.854290006312476,-0.0980857518722183
613,1970,Spring,-2.38716248656834,0.303027997115757,0.0319152612183563
615,1970,Spring,-3.90003344920469,-1.3421379941405,-0.455170011847025
616,1970,Spring,-0.892585455506176,-0.0308564054563405,-0.0722688830052751
621,1970,Spring,-2.53699528478415,-0.71207025120435,-0.211913897365595
622,1970,Spring,-2.69245248442753,-0.855888120402126,-0.457147850616914
623,1970,Spring,-1.90472324784735,1.51086646499838,0.184440677073177
625,1970,Spring,-3.77251965162844,-1.81243442071999,-0.530564686243407
626,1970,Spring,-1.21345225054069,0.205723204345502,-0.237517048971942
631,1970,Spring,-4.20145642466975,-2.06059966659228,-0.599777101570966
632,1970,Spring,-0.484440495171334,0.568523892290842,-0.639981323151886
635,1970,Spring,-0.648332273795395,1.5527345876475,-0.461054610223954
636,1970,Spring,-0.139845060672088,0.346128751069343,-0.171568905554124
464,1971,Fall,-1.71225860644784,0.305503876134485,0.476325651875924
465,1971,Fall,-2.22467861696539,0.189669872206988,0.310483859016585
511,1971,Fall,-2.32115655123952,1.76434348502436,0.267934804102903
512,1971,Fall,-2.28959186572782,0.380246487308709,0.239924494088331
513,1971,Fall,-2.14163749286533,0.370611686938939,0.417877444412705
514,1971,Fall,-2.63344116008769,0.597269475343278,0.0439686721065316
515,1971,Fall,-1.91384791867055,0.53301806661912,0.513084305069732
521,1971,Fall,-2.33051095646343,1.37494018838378,0.173109404842681
522,1971,Fall,-1.95713474435817,0.68824948215318,0.103494977947614
525,1971,Fall,-2.45075853119098,-0.162336517056205,-0.293637530534298
